label,group,group_label,target,samples,mean_delta,median_delta,std_delta,se_delta,ci95_low,ci95_high,improve_rate,worse_rate,p_normal_approx,source_sample_mae,adapter_sample_mae
seed23,severity_mid,1.557 < severity <= 2.578,unaffected,9127,-0.0004178756160021377,-0.00013339519500732422,0.002689338900729682,2.8150201547313476e-05,-0.0004730500110348721,-0.0003627012209694033,0.5545086008546072,0.44549139914539276,7.551777851730239e-50,0.5344692690854489,0.5340513934694469
seed7,severity_high,severity > 2.578,all,9165,-0.0002538123517106676,-0.00019359588623046875,0.00306782335183125,3.2045283218372036e-05,-0.0003166211068186768,-0.00019100359660265842,0.5399890889252591,0.46001091107474085,2.366948073989434e-15,0.8609077722338204,0.8606539598821098
seed11,severity_high,severity > 2.578,all,9165,-0.0005192373953942581,-0.0002976655960083008,0.0038167165139798664,3.986792837394444e-05,-0.0005973785350071892,-0.000441096255781327,0.5560283687943263,0.44397163120567373,8.943770362395413e-39,0.8594175752693359,0.8588983378739417
seed23,severity_high,severity > 2.578,all,9165,-0.00031028579507964073,-0.00016301870346069336,0.0035949279223404743,3.75512114647242e-05,-0.00038388616955050016,-0.0002366854206087813,0.5324604473540644,0.467430441898527,1.4205196790479202e-16,0.8564826671406017,0.8561723813455221
seed7,severity_high,severity > 2.578,affected,9162,-0.0004274596591699438,-0.0003661811351776123,0.005955993135297224,6.222416032639046e-05,-0.0005494190134096691,-0.00030550030493021855,0.544968347522375,0.45503165247762495,6.434905549960046e-12,1.4220221571085938,1.4215946974494238
seed11,severity_high,severity > 2.578,affected,9162,0.0002451100527160268,0.00016200542449951172,0.007799481610179422,8.148367252111004e-05,8.54020545746511e-05,0.0004048180508574025,0.48461034708578915,0.5153896529142109,0.0026289705054792652,1.4195625529350269,1.419807662987743
seed23,severity_high,severity > 2.578,affected,9162,-0.00031840778794566557,-0.00025343894958496094,0.007096147372483383,7.413571536681524e-05,-0.00046371379006462346,-0.00017310178582670768,0.5284872298624754,0.4715127701375246,1.7474761653483826e-05,1.4126527056803846,1.412334297892439
seed7,severity_high,severity > 2.578,unaffected,9141,-0.00017012327097657082,-3.364682197570801e-05,0.0036282164865156707,3.794865062906309e-05,-0.0002445026262095345,-9.574391574360717e-05,0.5117602012908872,0.48823979870911277,7.360574656425205e-06,0.5414493936882728,0.5412792704172963
seed11,severity_high,severity > 2.578,unaffected,9141,-0.0010506643106458536,-0.0005379915237426758,0.0037268874759203434,3.898068135767539e-05,-0.0011270664461068974,-0.0009742621751848098,0.6423804835357182,0.3576195164642818,5.195460308318736e-160,0.5421394066665656,0.5410887423559196
seed23,severity_high,severity > 2.578,unaffected,9141,-0.0003135034665929946,-9.185075759887695e-05,0.0038556621670109196,4.032757611443088e-05,-0.0003925455157772792,-0.0002344614174087101,0.5259818400612625,0.4740181599387376,7.609207666178042e-15,0.5408260223645537,0.5405125188979607
seed7,recovery_short_lt30,recovery < 30 min,all,12563,-0.0002193014360362345,-6.0498714447021484e-05,0.001737355573905404,1.5500368821067607e-05,-0.000249682158925527,-0.000188920713146942,0.5481174878611796,0.45188251213882036,1.917540060440422e-45,0.6196524586330162,0.61943315719698
seed11,recovery_short_lt30,recovery < 30 min,all,12563,-0.0003624569914074429,-0.00015544891357421875,0.001906597640956641,1.7010315603830723e-05,-0.0003957972099909511,-0.0003291167728239347,0.5891108811589588,0.4108891188410412,9.555418690458324e-101,0.6189743146541393,0.618611857662732
seed23,recovery_short_lt30,recovery < 30 min,all,12563,-0.0002848804186818175,-7.513165473937988e-05,0.0020872083298517103,1.8621691152364866e-05,-0.00032137893334045265,-0.00024838190402318237,0.5389636233383746,0.4610363766616254,7.846688154297208e-53,0.6184349316849499,0.6181500512662681
