label,group,group_label,target,samples,mean_delta,median_delta,std_delta,se_delta,ci95_low,ci95_high,improve_rate,worse_rate,p_normal_approx,source_sample_mae,adapter_sample_mae
seed11,recovery_short_lt30,recovery < 30 min,all,12563,-0.00018663290678425256,-0.00015115737915039062,0.0005830643809652998,5.201993815850679e-06,-0.0001968288146633199,-0.00017643699890518521,0.6519143516675954,0.34800604951046726,6.931258170120599e-282,0.6189758000249097,0.6187891671181254
seed23,recovery_short_lt30,recovery < 30 min,all,12563,-0.00031281550951058306,-0.00018262863159179688,0.002075307687199449,1.851551579420078e-05,-0.0003491059204672166,-0.0002765250985539495,0.5632412640292924,0.43675873597070763,4.9156926121165544e-64,0.61843104944289,0.6181182339333794
seed7,recovery_short_lt30,recovery < 30 min,affected,11287,-0.0001285095753012382,-9.98377799987793e-05,0.0010128697642423185,9.533762842820567e-06,-0.0001471957504731665,-0.00010982340012930989,0.5658722424027642,0.43412775759723576,2.0673085680090456e-41,0.9467380237508582,0.946609514175557
seed11,recovery_short_lt30,recovery < 30 min,affected,11287,-0.00013745549013038623,-0.00010603666305541992,0.001131821542550395,1.065341127557767e-05,-0.00015833617623051846,-0.000116574804030254,0.5576326747585718,0.4423673252414282,4.358073190088446e-38,0.9441004360416961,0.9439629805515658
seed23,recovery_short_lt30,recovery < 30 min,affected,11287,-0.00046317668568468014,-0.00029778480529785156,0.004163037654769599,3.918511057144164e-05,-0.0005399795024047057,-0.00038637386896465454,0.5566581022415168,0.4433418977584832,3.0687441977282523e-32,0.9459113599251469,0.9454481832394621
seed7,recovery_short_lt30,recovery < 30 min,unaffected,12503,-0.00010669631295792247,-6.279349327087402e-05,0.0006619747470663471,5.9201717573235696e-06,-0.00011829984960227667,-9.509277631356827e-05,0.564744461329281,0.4351755578661121,1.297387395411037e-72,0.5211886555685822,0.5210819592556243
seed11,recovery_short_lt30,recovery < 30 min,unaffected,12503,-0.0002122101205106374,-0.00016385316848754883,0.0006295630233661496,5.630307269129048e-06,-0.00022324552275813033,-0.00020117471826314445,0.6595217147884508,0.34039830440694235,7.059006935757e-311,0.5209422594277926,0.520730049307282
seed23,recovery_short_lt30,recovery < 30 min,unaffected,12503,-0.00026446558421281476,-0.0001423358917236328,0.00221652262772893,1.9822802483482423e-05,-0.0003033182770804403,-0.0002256128913451892,0.5460289530512676,0.4539710469487323,1.3279112980455288e-40,0.5196531497259064,0.5193886841416936
seed7,recovery_mid_30_90,30 <= recovery < 90 min,all,3380,-9.878152573602439e-05,-8.574128150939941e-05,0.0004969964447592984,8.548598731211618e-06,-0.00011553677924919917,-8.202627222284961e-05,0.5890532544378698,0.4109467455621302,6.941387458170338e-31,0.7025535471781471,0.702454765652411
seed11,recovery_mid_30_90,30 <= recovery < 90 min,all,3380,-0.000302021910805674,-0.0002466738224029541,0.0005750553999909156,9.891253578523225e-06,-0.00032140876781957953,-0.0002826350537917685,0.7343195266272189,0.2653846153846154,9.155252048693817e-205,0.7035895533462954,0.7032875314354896
seed23,recovery_mid_30_90,30 <= recovery < 90 min,all,3380,-0.000386054514075172,-0.00020572543144226074,0.002420227696315556,4.162918192299462e-05,-0.00046764771064424144,-0.0003044613175061026,0.5659763313609467,0.43402366863905323,1.7988040680659403e-20,0.7023497473470558,0.7019636928329807
seed7,recovery_mid_30_90,30 <= recovery < 90 min,affected,3377,-0.00016384002793142348,-0.00012558698654174805,0.00094895319953752,1.632973977801838e-05,-0.0001958463178963395,-0.00013183373796650747,0.5753627480011845,0.4246372519988155,1.0889533702729093e-23,1.1023052896149312,1.1021414495869999
seed11,recovery_mid_30_90,30 <= recovery < 90 min,affected,3377,-0.00040398400882521007,-0.00031250715255737305,0.0011439580158703823,1.968541412289423e-05,-0.00044256742050608275,-0.0003654005971443374,0.6520580396801895,0.3479419603198105,1.3696905024639464e-93,1.1020923552779287,1.1016883712691035
seed23,recovery_mid_30_90,30 <= recovery < 90 min,affected,3377,-0.0008040288248674948,-0.0004208087921142578,0.004813957971574588,8.283936554135838e-05,-0.0009663939813285572,-0.0006416636684064323,0.5697364524726088,0.43026354752739115,2.8461352534860725e-22,1.1009661779800461,1.1001621491551787
seed7,recovery_mid_30_90,30 <= recovery < 90 min,unaffected,3359,-7.875492598336877e-05,-6.416440010070801e-05,0.0006221044834583422,1.0733919386974384e-05,-9.979340798183856e-05,-5.771644398489898e-05,0.567728490622209,0.43197380172670435,2.184103781624166e-13,0.5317794148585349,0.5317006599325514
seed11,recovery_mid_30_90,30 <= recovery < 90 min,unaffected,3359,-0.0002524516489506478,-0.00020462274551391602,0.0006114009453055086,1.0549238326569177e-05,-0.0002731281560707234,-0.0002317751418305722,0.6975290264959809,0.3021732658529324,1.4645904090336158e-126,0.5324820740085764,0.5322296223596258
seed23,recovery_mid_30_90,30 <= recovery < 90 min,unaffected,3359,-0.00016923397602017134,-0.00010782480239868164,0.0025279224428577437,4.3617296514750774e-05,-0.00025472387718908287,-8.374407485125982e-05,0.5266448347722537,0.47335516522774634,0.00010446763523309752,0.5313168769105093,0.5311476429344891
seed7,recovery_long_ge90,recovery >= 90 min,all,11556,-0.0001073568729266612,-9.28640365600586e-05,0.00053437340156736,4.9709691329794206e-06,-0.00011709997242730087,-9.761377342602154e-05,0.5853236413984078,0.41450328833506406,1.9262546938507133e-103,0.8084036137750091,0.8082962569020825
seed11,recovery_long_ge90,recovery >= 90 min,all,11556,-0.00020301817826392867,-0.00017637014389038086,0.000595564478073017,5.540194606461488e-06,-0.00021387695969259319,-0.00019215939683526415,0.6511768778123919,0.34865005192107995,5.579543732213184e-294,0.8073629195063368,0.8071599013280728
seed23,recovery_long_ge90,recovery >= 90 min,all,11556,-0.00021588242963838428,-0.00014954805374145508,0.002922129487396845,2.7182893912409028e-05,-0.000269160901706706,-0.0001626039575700626,0.5318449290411907,0.46815507095880926,1.9918988506972526e-15,0.8044616784055821,0.8042457959759438
seed7,recovery_long_ge90,recovery >= 90 min,affected,11541,-0.00010951928301810309,-0.0001201629638671875,0.0009031101389819299,8.406573172275356e-06,-0.0001259961664357628,-9.304239960044339e-05,0.5710077116367732,0.4289922883632268,8.500683766899503e-39,1.2546383347015284,1.2545288154185101
