threshold,floor,temperature,group,label,source_all_mae,adapter_all_mae,all_delta,source_affected_mae,adapter_affected_mae,affected_delta,source_unaffected_mae,adapter_unaffected_mae,unaffected_delta
0.3,0.1,0.25,severity_high,severity > 2.578,0.8370981774744759,0.8364696596355158,-0.0006285178389601187,1.2894421377452492,1.289523683342247,8.154559699780073e-05,0.5373077252176639,0.5362086147522409,-0.0010991104654229922
0.3,0.1,0.25,recovery_short_lt30,recovery < 30 min,0.606863957265779,0.606376631110461,-0.00048732615531799084,0.9364992472874594,0.9359156678080492,-0.0005835794794101234,0.5056042168623659,0.5051464573051901,-0.000457759557175752
0.3,0.1,0.25,recovery_mid_30_90,30 <= recovery < 90 min,0.6708174255904502,0.669608511349321,-0.001208914241129233,1.0286134657059498,1.026445582181096,-0.002167883524853753,0.5214138842779185,0.5206054148643486,-0.0008084694135698234
0.3,0.1,0.25,recovery_long_ge90,recovery >= 90 min,0.7936325467333487,0.7928709855346594,-0.0007615611986893089,1.1938029610874101,1.193598185193818,-0.0002047758935921351,0.5407746472278139,0.5396612539466668,-0.0011133932811471237
0.3,0.1,0.25,severity_high_and_long,severity high and recovery >= 90 min,0.8410932702309449,0.8404806367441847,-0.0006126334867602168,1.2770558114403372,1.2772325487540435,0.00017673731370626555,0.5417594313546809,0.5406048294434093,-0.001154601911271591
0.3,0.25,0.25,overall,all test events,0.7092097441986353,0.708471038796042,-0.0007387054025932427,1.1046952400734757,1.1041369325030175,-0.0005583075704582718,0.5236560658487773,0.5228327384695783,-0.0008233273791989904
0.3,0.25,0.25,severity_low,severity <= 1.557,0.5708375628559612,0.5703456562553813,-0.000491906600579961,0.8361752164416952,0.8353230596392615,-0.0008521568024337789,0.5049174934959788,0.5045150953290152,-0.0004023981669636356
0.3,0.25,0.25,severity_mid,1.557 < severity <= 2.578,0.6626365016545114,0.6616129844329542,-0.0010235172215571353,0.9590187214722444,0.9576784388112075,-0.0013402826610369178,0.5258342516781376,0.5249569592356609,-0.0008772924424766959
0.3,0.25,0.25,severity_high,severity > 2.578,0.8370981774744759,0.8364497528637815,-0.0006484246106943647,1.2894421377452492,1.2895128889941385,7.07512488893336e-05,0.5373077252176639,0.5361826804561172,-0.001125044761546734
0.3,0.25,0.25,recovery_short_lt30,recovery < 30 min,0.606863957265779,0.6063614566987586,-0.0005025005670203919,0.9364992472874594,0.9358986279274862,-0.0006006193599731313,0.5056042168623659,0.5051318545130231,-0.0004723623493427809
0.3,0.25,0.25,recovery_mid_30_90,30 <= recovery < 90 min,0.6708174255904502,0.6695715942807798,-0.0012458313096703755,1.0286134657059498,1.0263888782202037,-0.0022245874857460546,0.5214138842779185,0.5205767605097972,-0.000837123768121284
0.3,0.25,0.25,recovery_long_ge90,recovery >= 90 min,0.7936325467333487,0.79284820865523,-0.0007843380781187292,1.1938029610874101,1.1935808651177338,-0.00022209596967637246,0.5407746472278139,0.5396350273082418,-0.0011396199195721213
0.3,0.25,0.25,severity_high_and_long,severity high and recovery >= 90 min,0.8410932702309449,0.8404613367594327,-0.0006319334715122471,1.2770558114403372,1.2772228146256057,0.00016700318526852165,0.5417594313546809,0.5405789327155051,-0.0011804986391757977
0.3,0.5,0.25,overall,all test events,0.7092097441986353,0.7084430542483892,-0.0007666899502460911,1.1046952400734757,1.1041107619277089,-0.0005844781457668979,0.5236560658487773,0.5228038965251335,-0.0008521693236438477
0.3,0.5,0.25,severity_low,severity <= 1.557,0.5708375628559612,0.5703248168553946,-0.0005127460005666107,0.8361752164416952,0.8352923459184476,-0.0008828705232476475,0.5049174934959788,0.5044967037914081,-0.0004207897045707121
0.3,0.5,0.25,severity_mid,1.557 < severity <= 2.578,0.6626365016545114,0.6615698919929557,-0.0010666096615556953,0.9590187214722444,0.9576205415603444,-0.0013981799119000549,0.5258342516781376,0.5249206878328114,-0.0009135638453261485
0.3,0.5,0.25,severity_high,severity > 2.578,0.8370981774744759,0.8364303356358537,-0.0006678418386222296,1.2894421377452492,1.289509903574309,6.77658290597627e-05,0.5373077252176639,0.536152346826184,-0.0011553783914799443
0.3,0.5,0.25,recovery_short_lt30,recovery < 30 min,0.606863957265779,0.6063390834214095,-0.0005248738443695,0.9364992472874594,0.9358731704203349,-0.0006260768671244588,0.5056042168623659,0.5051104258143528,-0.0004937910480130592
0.3,0.5,0.25,recovery_mid_30_90,30 <= recovery < 90 min,0.6708174255904502,0.6695155363084427,-0.0013018892820074734,1.0286134657059498,1.0263005505320648,-0.0023129151738849885,0.5214138842779185,0.5205341708736162,-0.0008797134043022625
0.3,0.5,0.25,recovery_long_ge90,recovery >= 90 min,0.7936325467333487,0.7928231577624926,-0.0008093889708561397,1.1938029610874101,1.1935662050136295,-0.00023675607378059738,0.5407746472278139,0.5396033842232668,-0.0011712630045470629
0.3,0.5,0.25,severity_high_and_long,severity high and recovery >= 90 min,0.8410932702309449,0.8404439714241161,-0.0006492988068288463,1.2770558114403372,1.2772226672086109,0.0001668557682736882,0.5417594313546809,0.5405497647753578,-0.0012096665793230876
0.5,0.1,0.25,overall,all test events,0.7092097441986353,0.7085598713770026,-0.0006498728216326466,1.1046952400734757,1.1042163178719993,-0.0004789222014764949,0.5236560658487773,0.5229260003292052,-0.0007300655195721095
0.5,0.1,0.25,severity_low,severity <= 1.557,0.5708375628559612,0.5704004757576107,-0.0004370870983505526,0.8361752164416952,0.8353976993257168,-0.0007775171159783989,0.5049174934959788,0.5045649803051467,-0.0003525131908320711
